Source	Reference	Greedy	Beam
<ans> رولو </ans> کی آمد سے پہلے ، اس کی آبادی پکارڈی یا آئل ڈی فرانس سے مختلف نہیں تھی ، جسے فرینک سمجھا جاتا تھا۔	پہنچنے پر کس نے اصل وائکنگ آباد کاروں کو ایک مشترکہ شناخت دی؟	کون سا پہلے سے پہلے سے پہلے سے پہلے سے پہلے سے پہلے؟	کس سے پہلے سے پہلے آبادی کا شکار کرنے سے پہلے کیا؟
زیادہ تر نارمن شورویروں کو غریب اور زمین کی بھوک لگی رہی ، اور 1066 تک نارمنڈی ایک نسل سے زیادہ عرصے سے <ans> لڑنے والے گھوڑوں </ans> کی برآمد کر رہا تھا۔	نارمن کی اہم برآمدات میں سے ایک کیا تھا؟	زیادہ تر زیادہ تر زیادہ تر کس کس نے سے ہجرت کر رہا تھا؟	زیادہ تر زیادہ تر زیادہ تر کس کس نے کی؟؟
نارمنوں کے اٹلی میں داخل ہونے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، پیچنیگس ، بلغاروں اور خاص طور پر <ans> سلجک ترکوں </ans> کے خلاف لڑے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	کس کے خلاف کے خلاف کس کے خلاف خلاف لڑا؟	کس نے کے خلاف اتحاد کے خلاف لڑا؟
نارمنز نے اٹلی میں داخل ہونا شروع کرنے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، <ans> پیچنیگس ، بلغارین ، اور خاص طور پر سلجک ترکوں </ans> کے خلاف لڑتے ہوئے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	سلطنت عثمانیہ نے خلاف خلاف خلاف خلاف خلاف خلاف خلاف خلاف خلاف خلاف خلاف؟	سلطنت عثمانیہ کے خلاف کس کے خلاف لڑا؟
نارمنوں کے اٹلی میں داخل ہونے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، پیچنیگس ، بلغاروں اور خاص طور پر <ans> سلجک ترکوں </ans> کے خلاف لڑے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	کس کے خلاف کے خلاف کس کے خلاف خلاف لڑا؟	کس نے کے خلاف اتحاد کے خلاف لڑا؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک <ans> 1050 کی دہائی </ans> میں ہروی تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	جنرل اسمبلی میں پہلے کب کب کب کب؟	جنرل اسمبلی میں پہلے کب سے پہلے؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک ہروی <ans> 1050 کی دہائی میں </ans> تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	جنرل کونسل کا پہلا کب کب تھا؟	جنرل کونسل کا آغاز کب ہوا؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک ہروی <ans> 1050 کی دہائی میں </ans> تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	جنرل کونسل کا پہلا کب کب تھا؟	جنرل کونسل کا آغاز کب ہوا؟
<ans> 1060 کی دہائی </ans> میں ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	کس مہینے میں شوپن نے خلاف بغاوت خلاف بغاوت کی خلاف بغاوت کی؟	کس مہینے میں عثمانیوں نے خلاف بغاوت خلاف بغاوت کی؟
<ans> 1060 کی دہائی میں </ans> ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	کس مہینے اور فرانسس نے خلاف بغاوت کی خلاف بغاوت کی؟	کس مہینے میں شوپن نے خلاف بغاوت خلاف بغاوت کی؟
<ans> 1060 کی دہائی میں </ans> ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	کس مہینے اور فرانسس نے خلاف بغاوت کی خلاف بغاوت کی؟	کس مہینے میں شوپن نے خلاف بغاوت خلاف بغاوت کی؟
روسل ڈی بیلول نے یہاں تک کہ مقامی آبادی کی حمایت سے ایشیاء مائنر میں ایک آزاد ریاست بنانے کی کوشش کی ، لیکن اسے بازنطینی جنرل <ans> الیکسیس کومنیوس </ans> نے روک دیا۔	کون ایک آزاد ریاست کے لئے Roussel ڈی Bailleul کے منصوبوں کو برباد کر دیا؟	کس نے نے نے کو کو کس نے بنایا؟	کون سا جنرل جنرل نے نے کو ریاست میں ریاست کی ریاست سے علیحدگی کیا؟
انہوں نے یہاں تک کہ اپنے قلعے کے نام کو اپنی نسلیت دی: <ans> افرانجی </ans> ، جس کا مطلب فرینکس ہے۔	نارمن قلعے کا نام کیا تھا؟	کے کے نام کیا ہے؟	اس کے کا نام نام کیا ہے؟
<ans> اورسل </ans> نامی ایک نارمن نے شمالی شام میں اوپری فرات کی وادی میں فرینکس کی ایک فورس کی قیادت کی۔	فرینکس جب فرات کی وادی میں داخل ہوئے تو ان کا رہنما کون تھا؟	کون سی نے نے نے نے کی کی کی قیادت کی؟	کون سی دو نے نے نے کیس کی قیادت کی؟
کچھ نارمنوں نے <ans> ترکی کی افواج </ans> میں شمولیت اختیار کی تاکہ دور مشرقی اناطولیہ میں آرمینیائی وابستہ ریاستوں ساسون اور تارون کی تباہی میں مدد کی جاسکے۔	نارمنز نے اناطولیہ میں کس کے ساتھ تعاون کیا؟	مشرقی ایشیائی ممالک نے کس میں کس اختیار کی؟	مشرقی ایشیائی ممالک نے کس میں میں شمولیت اختیار کی؟
بازنطینی یونان کے کئی خاندان کمینیئن بحالی کی مدت کے دوران <ans> نارمن مزدور </ans> نژاد تھے ، جب بازنطینی شہنشاہ مغربی یورپی جنگجوؤں کی تلاش کر رہے تھے۔	Raouliii خاندان کی ابتداء کیا تھی؟	رومی سلطنت کے دوران کس خاندان کے دوران کون تھے؟	رومی سلطنت کے خاندان کے دوران کون سا مذہب غالب تھا؟
راولی <ans> راول نامی ایک اطالوی-نورمن </ans> سے descended تھے ، پیٹرلیفی ایک پیئر ڈی اولپس سے descended تھے ، اور البانیائی قبائل کا وہ گروپ جسے منیکیٹس کے نام سے جانا جاتا ہے وہ نارمنوں سے descended تھے جنہوں نے 1038 کی سسلی مہم میں جارج منیاسس کے تحت خدمات انجام دیں۔	Raouliii خاندان کی ابتداء کیا تھی؟	سے پہلے کس سے سے تھے؟	کس سے سے تھے؟
راولی <ans> راول نامی ایک اطالوی-نارمن سے تعلق رکھتے تھے </ans> ، پیٹرلیفی ایک پیئر ڈی اولپس سے تعلق رکھتے تھے ، اور البانیائی قبائل کا وہ گروپ جسے منیکیٹس کے نام سے جانا جاتا ہے وہ نارمنوں سے تعلق رکھتا تھا جنہوں نے 1038 کی سسلی مہم میں جارج منیاسس کے تحت خدمات انجام دیں۔	Raouliii خاندان کی ابتداء کیا تھی؟	کیا تھا؟	کیا تھا؟
<ans> رابرٹ گسکارڈ </ans> ، ایک اور نارمن مہم جوئی جو پہلے اپنی فوجی کامیابیوں کے نتیجے میں اپولیا کے کاؤنٹ کی وقار کو بلند کیا گیا تھا ، نے بالآخر بازنطینیوں کو جنوبی اٹلی سے باہر نکال دیا۔	Apulia کے کاؤنٹ کا نام کیا تھا	کون سا نے نے کو کس نے فتح کیا؟	کس نے نے نے کو کس نے فتح کیا؟
شہر کی گارنیشن نے فروری <ans> 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنز کے حوالے کردیا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کتنے سال تک نیو یارک نے نیو یارک میں کی کی کی؟	کتنے سال تک نیو یارک نے نیو یارک میں کتنے کی کی؟
شہر کی گارنیشن نے <ans> فروری 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنوں کے ساتھ دھوکہ دیا تھا۔	Dyrrachium نارمنوں کو کب گر گیا؟	نیو یارک نے کس سال تک نیو یارک کی کی کی؟	نیو یارک نے کس سال تک نیو یارک میں کی کی؟
شہر کی گارنیشن نے <ans> فروری 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنوں کے ساتھ دھوکہ دیا تھا۔	Dyrrachium نارمنوں کو کب گر گیا؟	نیو یارک نے کس سال تک نیو یارک کی کی کی؟	نیو یارک نے کس سال تک نیو یارک میں کی کی؟
کروشیا اور ڈلمیٹیا کے کیتھولک شہروں کے ساتھ اتحاد کرنے کے بعد ، 1081 میں اس نے 300 بحری جہازوں میں <ans> 30،000 </ans> مردوں کی ایک فوج کی قیادت کی جو البانیہ کے جنوبی ساحل پر اتری ، والونا ، کینینا ، یریحو (اوریکومی) پر قبضہ کرلی ، اور متعدد لوٹ مار کے بعد بٹرنٹ پہنچی۔	رابرٹ کی فوج میں کتنے آدمی تھے؟	جاپان نے کتنے میں کتنے فوج کی قیادت کی؟	جاپان نے کتنے میں فوج کی قیادت کی؟
دریں اثنا ، انہوں نے پیٹرا ، دریا <ans> ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	نارمنز اور بازنطینیوں نے امن معاہدے پر کہاں دستخط کیے؟	کون سا دریا کے کنارے کے قریب تھا؟	کون سا دریا کس دریا کے قریب تھا؟
پہلی صلیبی جنگ کے چند سال بعد ، 1107 میں ، رابرٹ کے بیٹے <ans> بوہیمنڈ </ans> کی کمانڈ میں نارمنز والونا میں اتریں اور اس وقت کے سب سے نفیس فوجی سازوسامان کا استعمال کرتے ہوئے ڈیرراچیم کا محاصرہ کیا ، لیکن اس سے کوئی فائدہ نہیں ہوا۔	رابرٹ کا بیٹا کون تھا؟	پہلی جنگ عظیم کے دوران کون سا کس نے کی؟	پہلی جنگ عظیم کے دوران میں کون سا تھا؟
دریں اثنا ، انہوں نے پیٹرا ، دریا <ans> ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	پیٹریلا کس دریا کے کنارے واقع تھا؟	کون سا دریا کے کنارے کے قریب تھا؟	کون سا دریا کس دریا کے قریب تھا؟
دریں اثنا ، انہوں نے پیٹریلا ، <ans> دریائے ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	پیٹریلا کس دریا کے کنارے واقع تھا؟	کون سا کے کے ساتھ ساتھ، کون سا دریا نے نے کے ساتھ پر قبضہ کیا؟	کس نے کے ساتھ ساتھ، کون سا دریا نے کے ساتھ پر قبضہ کیا؟
بازنطینی ریاست کے مزید زوال نے <ans> 1185 </ans> میں تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے ڈیرراچیم پر حملہ کیا۔	نارمنز نے ڈیرراچیم پر کب حملہ کیا؟	کس سال میں نے نے نے حملہ کیا؟	کس سال میں نے پر حملہ کیا؟
بازنطینی ریاست کے مزید زوال نے <ans> 1185 میں </ans> تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے ڈیرراچیم پر حملہ کیا۔	نارمنز نے ڈیرراچیم پر کب حملہ کیا؟	کس سال میں نے نے نے حملہ کیا؟	کس سال کب ختم ہوئی؟
بازنطینی ریاست کے مزید زوال نے 1185 میں تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے <ans> ڈیرریچیم </ans> پر حملہ کیا۔	بحری اڈے کو کیا کہا جاتا تھا؟	کس نے نے حملہ کیا کہ وہ نے نے حملہ کیا؟	کس فوج نے حملہ کرنے پر حملہ کیا؟
کچھ وقت بعد ، <ans> ایڈریٹک </ans> کے سب سے اہم بحری اڈوں میں سے ایک ، ڈراچیم دوبارہ بازنطینی ہاتھوں میں آگیا۔	Dyrrachium کہاں واقع تھا؟	کس نے میں سب سے بڑی بحری حکمران کون تھا؟	کون سا سب سے بڑے حکمران کون تھا؟
کچھ وقت بعد ، <ans> ایڈریٹک </ans> کے سب سے اہم بحری اڈوں میں سے ایک ، ڈراچیم دوبارہ بازنطینی ہاتھوں میں آگیا۔	Dyrrachium کہاں واقع تھا؟	کس نے میں سب سے بڑی بحری حکمران کون تھا؟	کون سا سب سے بڑے حکمران کون تھا؟
اس تعلقات نے بالآخر نارمنڈی کے ڈیوک رچرڈ دوم کی بہن ایما اور انگلینڈ کے <ans> کنگ ایتھلریڈ دوم </ans> کی شادی کے ذریعے خون کے قریبی تعلقات پیدا کیے۔	ایما نے کس سے شادی کی؟	وکٹوریہ کی ماں کس کے شادی کی؟	وکٹوریہ اور شہزادہ البرٹ کے درمیان شادی کے درمیان شادی کی؟
